Title,IMDb_rating,Year,Genre,duration_minutes,flag_fiction
Loving Carmen,9.3,2016,Documentary,66.0,0
Fuga dalla Morte,9.2,2023,Adventure,116.3,1
Fast Shark III: Fastest Shark,9.0,2023,Comedy,116.3,1
12th Fail,8.9,2023,Biography,116.3,0
Saving for the Day,8.8,2023,Action,116.3,1
Christmas Mouse,8.8,2022,Adventure,102.0,1
Captain Callum Explores the Universe,8.8,2021,Action,116.3,1
Eternity Hill,8.8,2016,Drama,116.3,1
Per Aspera,8.8,2020,Adventure,116.3,1
Who Wants to Live Forever?,8.6,2022,Drama,116.3,1
Amare,8.6,2018,Drama,116.3,1
Lo que pudo ser 2084,8.6,2021,Sci-Fi,116.3,1
Adolescence Changes in the Coronavirus Environment. How does a teenager react to a claustrophobic pandemic?,8.6,2021,Documentary,116.3,0
Dead Grid,8.6,2017,Action,116.3,1
Arrows of Time,8.6,2017,Sci-Fi,116.3,1
Spider-Man: Across the Spider-Verse,8.6,2023,Animation,140.0,1
Dune: Part Two,8.6,2024,Action,166.0,1
Spider-Man: Across the Spider-Verse,8.6,2023,Animation,140.0,1
Dune: Part Two,8.6,2024,Action,166.0,1
Futurus - Robot contro uomini,8.5,2019,Sci-Fi,116.3,1
The Battle for First Chair Opening Day Dreams PinPin Twenty,8.5,2022,Sci-Fi,116.3,1
The Reflection of Kripto,8.5,2016,Sci-Fi,116.3,1
Parasite,8.5,2019,Drama,132.0,1
Coco,8.4,2017,Animation,105.0,1
Coco,8.4,2017,Animation,105.0,1
Your Name.,8.4,2016,Animation,116.3,1
Spider-Man: Into the Spider-Verse,8.4,2018,Animation,117.0,1
Coco,8.4,2017,Animation,105.0,1
Moleman 4: Longplay,8.4,2017,Documentary,116.3,0
Fluffy Marky: Vol 1,8.4,2016,Drama,116.3,1
The Phantom Lake Kids in the Unseen Invasion,8.4,2020,Comedy,116.3,1
O fylakas,8.4,2020,Drama,116.3,1
Avengers: Endgame,8.4,2019,Action,181.0,1
Centralia: Pennsylvania's Lost Town,8.4,2017,Documentary,90.0,0
Spider-Man: Into the Spider-Verse,8.4,2018,Animation,117.0,1
Spider-Man: Into the Spider-Verse,8.4,2018,Animation,117.0,1
Capernaum,8.4,2018,Drama,126.0,1
Coco,8.4,2017,Animation,105.0,1
Spider-Man: Into the Spider-Verse,8.4,2018,Animation,117.0,1
Your Name.,8.4,2016,Animation,116.3,1
Avengers: Infinity War,8.4,2018,Action,149.0,1
Joker,8.4,2019,Crime,122.0,1
Avengers: Endgame,8.4,2019,Action,181.0,1
Won't You Be My Neighbor?,8.3,2018,Documentary,95.0,0
Hamilton,8.3,2020,Biography,160.0,0
Oppenheimer,8.3,2023,Biography,180.0,0
Bijuli Machine,8.3,2016,Comedy,116.3,1
Cryptic Road,8.3,2016,Mystery,116.3,1
"Minor Daemon, Volume 1",8.3,2021,Animation,116.3,1
Emocean,8.3,2015,Sci-Fi,116.3,1
Won't You Be My Neighbor?,8.3,2018,Documentary,95.0,0
Hamilton,8.3,2020,Biography,160.0,0
Oppenheimer,8.3,2023,Biography,180.0,0
Oppenheimer,8.3,2023,Biography,180.0,0
It Ain't Over,8.2,2022,Documentary,99.0,0
Super/Man: The Christopher Reeve Story,8.2,2024,Documentary,106.0,0
Green Book,8.2,2018,Biography,130.0,0
Heroes Manufactured,8.2,2016,Documentary,116.3,0
Forestland,8.2,2021,Horror,116.3,1
Casa: Perros vs. Aliens,8.2,2020,Animation,116.3,1
Spider-Man: No Way Home,8.2,2021,Action,148.0,1
Lost & Found,8.2,2016,Documentary,82.0,0
Man in Red Bandana,8.2,2017,Documentary,85.0,0
Uncle Tom,8.2,2020,Documentary,106.0,0
LA 92,8.2,2017,Documentary,114.0,0
It Ain't Over,8.2,2022,Documentary,99.0,0
They Shall Not Grow Old,8.2,2018,Documentary,99.0,0
1917,8.2,2019,Action,119.0,1
Still: A Michael J. Fox Movie,8.1,2023,Documentary,95.0,0
Spotlight,8.1,2015,Biography,129.0,0
Hacksaw Ridge,8.1,2016,Biography,139.0,0
Ford v Ferrari,8.1,2019,Action,152.0,1
Inside Out,8.1,2015,Animation,95.0,1
Inside Out,8.1,2015,Animation,95.0,1
Rogue,8.1,2018,Sci-Fi,116.3,1
Coleville,8.1,2016,Horror,116.3,1
Vrem,8.1,2015,Comedy,116.3,1
A City to Make Me,8.1,2015,Sci-Fi,116.3,1
LICK,8.1,2019,Animation,116.3,1
Mad Max: Fury Road,8.1,2015,Action,120.0,1
The Farthest,8.1,2017,Documentary,121.0,0
Apollo 11,8.1,2019,Documentary,93.0,0
Hacksaw Ridge,8.1,2016,Biography,139.0,0
Lion,8.0,2016,Biography,118.0,0
Young Woman and the Sea,8.0,2024,Biography,129.0,0
Zootopia,8.0,2016,Animation,108.0,1
Zootopia,8.0,2016,Animation,108.0,1
Zootopia,8.0,2016,Animation,108.0,1
Rabbids Escape,8.0,2021,Action,116.3,1
Grand View Blvd.,8.0,2017,Comedy,116.3,1
Clan de Amigos,8.0,2019,Sci-Fi,116.3,1
The Paths of Kripto,8.0,2015,Animation,116.3,1
Failure,8.0,2017,Sci-Fi,116.3,1
Mutiny of the Red Water,8.0,2021,Animation,116.3,1
Dune,8.0,2021,Action,155.0,1
Street Gang: How We Got to Sesame Street,8.0,2021,Documentary,107.0,0
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",8.0,2021,Documentary,118.0,0
Zootopia,8.0,2016,Animation,108.0,1
Aavesham,8.0,2024,Action,116.3,1
Deadpool,8.0,2016,Action,108.0,1
Zootopia,8.0,2016,Animation,108.0,1
